"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @SchalkDormehl","@SchalkDormehl follows"
truenftpro,"NFT PRO🐞",NftLand,"27,600","7,591","14 Jun 2020 01:19:00","1,666","01 Jun 2022 16:24:46","Promoter | Daily TRANSPARENT #NFTGiveaways DM for Promo 💌🔥Each winner is announced with video PROOF🔥 TURN NOT ON 🔔 #Ethereum #Solana #Avax #NFTPromoter",,42.5,38,15,78.1,,
NFTMercegim,"NFT Mercegim 🔍","M Ξ T A V Ξ R S Ξ","30,981",502,"09 May 2022 11:33:48",342,"05 Jun 2022 23:50:31","🔍 Promoter | Marketer | Researcher | Writer | Web3 & NFT Lover Nfa & Always Dyor #Avax | #Solana | #Ethereum | #Elrond #NFT #GameFi #P2E #NFTGame #DeFi #Nodes",,61.5,6,38,78.4,,
Yagiverse,"Yagiverse📡","Discord (Invite Only)","29,525",11,"08 Apr 2019 09:51:26",106,"01 Jun 2022 13:49:32","Yagiverse is a collection of 5,555 Genesis generative NFTs about to land on the Ethereum blockchain. Each character originally morphed from the Yagiverse.",https://medium.com/@Yagiverse,74.3,4.8,20,77.2,,
OniXLegion,ONI-X,"Discord Open for Limited Time","17,226",464,"21 Feb 2022 00:17:11",16,"01 Jun 2022 05:42:10","The dawn of a new IP & lifestyle art brand exclusive to NFT holders on the Ethereum Blockchain. Designed by @Zae1x",https://discord.gg/oni-x,87.5,6.3,6.3,77.1,,
chivasoll,"𝗰𝗵𝗶𝘃𝗮𝘀",,"22,221",32,"11 Jan 2021 22:16:45",415,"05 Jun 2022 22:03:48","*️⃣ ᴡᴇ ᴀʀᴇ ʜᴇʀᴇ ғᴏʀ ʏᴏᴜ *️⃣ ɴғᴛ ᴘʀᴏᴊᴇᴄᴛ ᴘʀᴏᴍᴏᴛᴇʀ *️⃣ ᴅᴀɪʟʏ ɢɪᴠᴇᴀᴡᴀʏs 🎁 *️⃣ ᴅᴍ ғᴏʀ ᴄᴏʟʟᴀʙᴏʀᴀᴛɪᴏɴ 📩 #️⃣ #NFT · #Avax · #Solana · #Elrond · #ADA · #Ethereum",,69.5,19.5,4.5,77.1,,
CryptoGemsWorld,"Crypto 💎 GEMS","The Moon","14,343",47,"04 Apr 2022 22:19:54",891,"06 Jun 2022 08:24:34","Cypto Gems Hunter and promoter l DM us for SHILL/PROMO📈 l NO FINANCIAL ADVISOR - DYOR! l #Bitcoin #Ethereum #BNB #BSC #Memes #Altcoins #NFTs #Metaverse l",,2.5,41.5,49.5,76.9,,
kriptoholder,"Kriptoholder 🔔","İletişim için DM 📩","19,583",80,"04 Jan 2021 10:39:08","11,648","07 Jun 2022 06:16:48","Yazdıklarım kendime notlarımdır. Alım-satım noktalarına kendiniz karar veriniz! | #avax #bnb #mana #Ethereum #Metaverse #DeFi #NFT #Web3",https://t.me/kriptoholder06,40.5,15,28.5,77,,
shinobibunnynft,"Shinobi Bunny NFT","Shinobi Dojo","41,614",30,"10 Feb 2022 15:00:43",298,"23 May 2022 09:23:10","2222 Shinobi Bunnies on Ethereum blockchain by @rmlblaze. 🥷 Holders Get Free Mutation Carrots To Create Mutant Shinobi Bunnies.",https://linktr.ee/shinobibunnysaga,61.6,33.3,7.1,76.7,,
StopWarNFT2022,"StopWarNFT ☮️",Ethereum,"16,012",687,"05 Apr 2022 10:21:38","1,908","29 May 2022 20:06:02","☮️Biggest Charity Project of 2022. Best, first NFT. ☮️You can’t lose on Charity, can you❓❓❓❓ https://t.co/TJAEPxXALJ",http://www.stopwarnft.io,86.5,6,80,76.6,,
CleosCats,"Cleo’s Cats",Cleodise,"18,295",45,"11 Mar 2022 22:28:02",102,"30 May 2022 18:02:24","Cleo’s Cats is a collection of 7,777 NFT kitties, each cat acts as a personal cheerleader for it’s holder. Adoption day is coming soon...",https://linktr.ee/cleoscats,72.5,16.7,7.8,76.4,,
nftLucia_d,"Lucia1 Pro","Saint-Usage, France","53,204","3,432","21 Mar 2021 10:18:49","8,448","31 May 2022 03:09:48","Giveaways | Paid Promotion | NFT marketing | Packages | #DAO | #DYOR $bitcoin #solana #ethereum #RT 🔰Only Have This Page For Promotion",,11.7,61.2,27.6,76.5,,
altcryptocom,"Alt Crypto Moon 🚨🚀🪐",Metaverse,"183,068","3,195","04 Dec 2015 18:51:15","1,680","02 Jun 2022 18:30:00","Announcing 🚨 #AltCoins Going To The #Moon 🚀 Gem Finder #Bitcoin #Ethereum #BSC #CryptoMarkets #NFTs #Memes #Metaverse #BNB #CRO",https://t.me/CryptoGemsCom,7.5,4,1.5,76.4,,
soundmintxyz,"SoundMint 🍃",Ethereum,"38,467",987,"02 Oct 2021 05:31:05","1,357","04 Jun 2022 17:05:25","Generative Music NFTs. 1st Drop: @weareKLOUD x @AlexGHooker 2nd Drop: @KaienCruz x @somehoodlum 3rd Drop: Loading... 🍃",https://www.soundmint.xyz,20.7,63.6,18.2,76.1,,
Cryptolyst_,"Cryptolyst 💎🚀",Cryptosphere,"62,996",208,"25 Aug 2021 21:31:07",661,"26 May 2022 08:28:11","Crypto magician and oracle 🔮 // 💎 #BTC #BNB #Ethereum #Cardano #XRP #Solana #AVAX 💎 // NFT addict // No financial advice, DYOR 🚀",,24,67,10,76.3,,
TFG_NFTS,"The Friendly Giants",,"58,245",119,"24 Feb 2022 09:58:05",303,"30 May 2022 08:46:28","Bringing kindness into the Metaverse | Founded by @Antonio_nft | A fully animated NFT collection on the Ethereum network. https://t.co/hhkhccKnQk",https://thefriendlygiants.io/,30,3.5,28,76.3,,
gccnft,GlobalCitizenClub,"🌐","25,983",78,"10 Sep 2021 03:34:58","1,072","30 May 2022 08:57:28","Exclusive Luxury Lifestyle DAO Club with 8,888 unique Minimalism Masterpiece NFTs (on Ethereum blockchain) with Real-Life Utilities https://t.co/5R84I67kS9",https://gccnft.xyz,58.5,23.5,26.5,76.2,,
BadAlienSC,"Bad Alien Social Club SOLD OUT","The Starship","12,409","5,493","05 Dec 2021 17:46:39","6,623","03 Jun 2022 16:24:32","3666 Bad Aliens living on the Ethereum Blockchain. NFT doubles as Social Club Membership + Staking for GOOD Coin + Alien Pets + Serum! https://t.co/afdUtK9Dxw",https://opensea.io/collection/badaliensocialclub,28.5,10.5,70.5,76.1,,
Oluwaseyi_13,"SEYI🐻📈💎®️","Lagos, Nigeria","10,940","2,309","14 Oct 2019 17:26:31","34,834","29 May 2022 19:36:47","NFTs #Solana #Ethereum | @ManUtd❤️ | PR | SM Marketer",,11.5,52,42.5,76,,
SlotieNft,Slotie,Ethereum,"58,064",10,"08 Oct 2021 18:44:35",326,"04 Jun 2022 15:49:51","Slotie is utility NFT that brings DeFi to gambling. Linktree: https://t.co/Bckf7wHAvc Discord: https://t.co/v07FEcdKDy",https://junior.slotie.com,79,3.5,27.5,75.8,,
radrabbits_nft,"Rad Rabbits",RadStudio,"20,456",16,"07 Jan 2022 00:22:12",573,"02 Jun 2022 18:49:42","1,111 hand-drawn collectibles living on the Ethereum blockchain 🐰 #NFTs come with a link to unlockable content & entry into IRL Parties✨",https://linktr.ee/radrabbitsnft,69.5,7,52,75.8,,
BountyHunterNFT,"Bounty Hunter Space Guild",,"17,937",290,"02 Oct 2021 16:01:49","2,473","02 Jun 2022 20:12:55","10,000 Bounty Hunter #NFTs coming to #Ethereum Original 5,555 collection on #Solana | Sales Bot: @BHSGSales DAO: @BountyDAO",https://linktr.ee/bountyhunterspaceguild,41,50.5,10.5,75.8,,
felixbe54584201,felixb92,"Cape Coral, FL","4,521",544,"22 Nov 2015 03:53:59","18,108","07 Jun 2022 02:13:50","just a guy with a phone trying to make some 💰 💯",,17,0,93.5,75.8,,
fomo_lab,"FOMO Lab™ - Mr Bean NFTs🚀","London, United Kingdom","66,418",539,"26 Mar 2021 15:14:31","2,401","06 Jun 2022 15:19:08","1155 Mr Bean NFTs on the Ethereum blockchain! Beanlist 25th and Public 26th! Discord https://t.co/F8qMj7NLLk",https://linktr.ee/FomoLab,58.5,31.5,14.5,75.4,,
SolMonster8,"S◎L.Monster︱PROMOTER",,"12,253",39,"13 Dec 2021 22:53:22","1,070","04 Jun 2022 15:20:11","In the game for NFTs 😁︱DM ~ PROMOS 📩 🤝︱🎁 Daily Giveaways 🎁︱Only Organic Followers 🔥 #Solana #Ethereum #Bitcoin #NOTIMOB",,34.2,20.6,33.2,75.3,,
nft_drop_here_,"NFT Drop Your",,"37,669",1,"06 Feb 2020 16:24:27","81,822","07 Jun 2022 05:30:00","Drop your #NFT Share your NFT with all. #Cryptocurrency Lover #Bitcoin #Dogecoin #Ethereum #Cardano #BNB #USDT #XRP #Solana #DOT #USDC #UNI #LTC #LINK #BCH ....",https://earnbtcandaltcoins.blogspot.com/2020/02/1.html,0,0,1,75.3,,
MoodyCats_NFTs,"Moody Cats NFT","NFT World","14,405",5,"08 Feb 2022 01:51:45",16,"29 May 2022 15:47:16","Collection of 8,888 unique digital collectibles on Ethereum Blockchain with multiple community driven benefits & utilities. Discord : https://t.co/vhhxe1LuzL",http://www.ComingSoon.com,70.6,11.8,0,75.2,,
nicekidsNFT,"Nice Kids Collective",wagmi,"31,441",0,"02 Mar 2022 20:17:22",371,"02 Jun 2022 11:01:44","A collection of 5'555 generated ERC-721A #NFTs on Ethereum blockchain.🎈https://t.co/w6tZrOPcPN",https://linktr.ee/nicekidsnft,64.6,21.2,33.8,75.2,,
ZombieZebrasNFT,"Zombie Zebras NFT","Ethereum Blockchain","17,054","4,215","23 Sep 2021 18:16:14","8,596","30 May 2022 17:45:56","3333 Zombie Zebras | Stake to Earn $WORMS | Founders @GnarlyJosh @pbutta_eth @ZombieDAODev",https://linktr.ee/ZombieZebrasNFT,18.7,66.2,16.2,75,,
Reagankeeya,"REAGAN KEEYA","Click Link below to join 👇👇","11,261","2,990","19 Feb 2020 03:35:51","133,942","07 Jun 2022 01:42:12","⌚ “ᴀᴛ ʏᴏᴜʀ ʜɪɢʜᴇꜱᴛ ᴍᴏᴍᴇɴᴛ, ʙᴇ ᴄᴀʀᴇꜰᴜʟ. ᴛʜᴀᴛ’ꜱ ᴡʜᴇɴ ᴛʜᴇ ᴅᴇᴠɪʟ ᴄᴏᴍᴇꜱ ꜰᴏʀ ʏᴏᴜ”. ~ ᴅᴇɴᴢᴇʟ ᴡᴀꜱʜɪɴɢᴛᴏɴ",https://one.exnesslink.com/a/eqwr3hau6s,0,48,26.5,75.7,,
TheGemHunter0,"GEM „#NFT” Hunter ","New York, USA","78,555",75,"31 May 2014 17:55:51","26,080","01 Jun 2022 21:36:49","Investor, content creator, marketing | DM for any business inquiries 📩 GEM HUNT 💎 #NFT Collector ❤️ #BTC #Ethereum #BSC #Solana Not financial advice. DYOR",http://gemhunters.net,4,0.5,98,74.7,,
OriginProtocol,"Origin Protocol",Ethereum,"156,174","6,772","09 Nov 2017 15:36:37","3,490","02 Jun 2022 01:00:46","The platform for hosting record-breaking #NFT sales. Earn high yields with our stablecoin $OUSD and by staking $OGN. https://t.co/Srx4qEoguc",http://originprotocol.com,49.2,39.2,16.6,74.7,"17 May 2022",
DAOPromoter,"DAO 🧙🏻‍♂️ | #NFT","Minnesota, USA","80,100","5,395","15 Jul 2021 00:30:05","15,578","02 Jun 2022 21:36:06","#NFT Promotions | #Shills | Investor | Website 3.0 | Package & RT | #ethereum #solana #icp #Crypto #Giveaways #WAX #ADA DM For Promos/Collab Business📬",http://pass3.me/stefantruong,1.1,51.6,48.4,74.6,,
MrFoxxnft,"Fox | 嘿","New York, USA","35,739",69,"24 Sep 2021 19:06:13","1,380","04 Jun 2022 15:53:06","NFT LOVER AND COLLECTOR | #NFT #NFTCommunity #nftcollector #Ethereum |",,2.5,69,0,74.5,,
ToonSquadNFT,"Toon Squad NFT",Ethereum,"49,253",99,"06 Dec 2021 19:01:43","1,454","31 May 2022 20:26:49","Uniting Web3 & Hyper Casual Gaming! https://t.co/wS9AH5z9jh / https://t.co/FWuoCktsCn",https://toonsquadnft.io,17.6,65.3,18.1,74.4,,
k00ksdotcom,"k00ks 🤙",Worldwide,"9,165",3,"30 Mar 2022 10:07:58",111,"27 May 2022 14:01:04","Just a bunch of k00ky NFTs on the Ethereum blockchain. Embrace the k00k. https://t.co/zpUrMVpaOx Created by: @DannPetty @HumphresTrevor @MarkBucknell",http://k00ks.com,43.2,4.5,53.2,74.3,,
ABXETH,"abx.eth 🎃",web3,"8,802","6,349","01 Jul 2011 15:57:28","3,381","06 Jun 2022 23:28:35","dumb tweets on ethereum and nfts - nfa",,10.5,1.5,79.5,74.2,,
MetisDAO,Metis,"Telegram: t.me/MetisDAO","130,557",754,"04 Aug 2020 19:55:34","6,917","02 Jun 2022 15:09:48","Ethereum Smart L2. Lowest cost L2/fast tx/NFT storage/NOCODE integration/web3 economy hub (DAC), Builder Mining! DeFi, mint NFTs, launch games & more! 🌿",http://Metis.io,42,44,15,74.1,,
CryptoMazeApp,"Crypto Maze","Ethereum L2 | 2022","66,533",46,"17 Jan 2022 18:02:07",222,"04 Jun 2022 16:04:39","Building a AAA studio and the best MMO mobile game on L2 ZK-rollups | 🎮 Play for FUN and earn ETH | 🌐 Socialize | 💳 Trade NFT assets 👾 3333 mint soon",http://www.CryptoMaze.app,44,11,46.5,74.1,,
hoglympics,"Hoglympics I HOGS WIN",discord.gg/dxGjmz2qZt,"60,258",14,"26 Nov 2021 17:20:05",66,"03 May 2022 21:05:55","A next-gen #metaverse project incorporating esports with Solana blockchain, Ethereum #NFTs, and DeFi to produce immersive, #PlayToEarn Olympic Games.",https://hoglympics.com/,78.5,16.9,1.5,73.9,,
GiulioAprin,"Giulio Aprin",Ethereum,"15,078","2,409","24 Jun 2009 20:21:09","41,568","06 Jun 2022 16:58:45","photographer | explorer | storyteller | exped. leader🎙HOST of “Beyond #NFTs” w/ @hauglandphoto SuperRare 💎 work on https://t.co/c2NheYmiq4",https://linktr.ee/GiulioAprin,11.5,7,88.5,74,,
DunderPromoter,"Dunder | NFT Promoter",NFTWorld,"8,427",100,"15 Mar 2021 14:20:53","10,918","31 May 2022 14:20:19","•DM for Promos | #solana #avax #bnb #elrond #cardano #ethereum",,43,50.3,17.6,73.7,,
ImmaDegen,IMMAVERSE,Ethereum,"20,221",595,"14 Jun 2021 04:15:44","1,864","01 Jun 2022 01:24:45","Visitors of ImmaDegen + The WynLambo. 3D Metaverse-Ready NFTs. https://t.co/Zl9JGPCs1z",http://www.immadegen.com,11,88.5,1.5,73.6,,
LastSamuraisNFT,"The Last Samurais","Land of Gods - Shinkoku","28,103",125,"27 Sep 2021 23:06:03",444,"03 Jun 2022 17:50:30","A Collection of 333 Unique Genesis Samurai on the Ethereum blockchain living as NFTs in the ShinkokuVerse. Discord locked. @TLSGiveaways",https://opensea.io/collection/the-last-samurais-nft,47.7,16.6,39.2,71.3,,
MOONROCKMANNFT,"MOONROCK NFT",Ethereum,"7,746",279,"10 Jan 2022 08:31:29",588,"05 Jun 2022 23:29:42","🌴MOONROCK CANADA NFT LAUNCHPAD🌳 join our Discord ➡️👽👽 https://t.co/G4govuH7Nd",https://moonrockNFT.io,38.4,51,20.7,72.6,,
PainsNFT,"PAINS NFT","Cardano & Ethereum","9,520",183,"28 Nov 2021 19:27:18","1,374","02 Jun 2022 11:15:45","The new home of Growing Pains and more. Handmade characters caught up in their feelings. Supporting mental health charities. 🧠 https://t.co/Q9L35SBkiI",http://linktr.ee/painsnft,32.5,18.5,60,73.4,,
BigWhalesCalls,"Big Whales 🐋",,"34,524",418,"26 Oct 2018 21:50:01",311,"31 May 2022 13:45:20","☎️Here are only the most powerful projects ERC20 and BSC (🐋 META _ GAMES #P2E _ NFT _ DeFi 🐋) #BNB #Ethereum 📉 Analysis",http://t.me/CEO_BigWhalesCalls,15.1,5,87.4,73.4,,
KriptoSky,"Crypto SKY",metaverse,"119,813",298,"04 Feb 2013 04:32:22","4,482","06 Jun 2022 10:00:58","Crypto & NFT Trader and Columnist Founder Of @Kriptoxpro Not giving financial advice #Bitcoin #Ethereum #NFT Discord : https://t.co/K5S3baQi6O",,70.4,14.8,7.4,73.4,,
sypecom,"SypeCom Tiger Member Club","Ethereum Blockchain","10,669","1,981","05 May 2022 17:49:58",712,"02 Jun 2022 00:30:00","9,999 Tiger NFTs Digital service marketplace for creators and entrepreneurs 🚀Minting coming soon🚀 WHITELIST 👉 https://t.co/RC5yC8YjA4 https://t.co/fDjKbEpyQs",,76,0.5,55.5,73.3,,
Zorinnft1,"Zorin's Elemental Club","Ethereum Blockchain🔗","9,879",0,"09 Apr 2022 06:01:35",15,"23 Apr 2022 18:31:25","9000 Zorins invading the NFT Space👾 Be A Unique Holder⭐️, Fly To The Moon With Us🚀 -Website (soon) 💫 -Discord (closed)",,66.7,0,20,73.3,,
Siriahost,"Siria | NFT & CRYPTO Promoter",,"56,494",32,"05 Feb 2022 04:09:11",43,"20 May 2022 21:18:17","NFT & Crypto Project Promoter & Social Media Marketing 💎 DM for promotion 📩 #bitcoin #binance #solana #ethereum",,27.9,34.9,37.2,73.2,,
Randos_Yubo,"Randos by Yubo",https://randos.yubo.live,"10,407",1,"14 Apr 2022 15:14:06",91,"27 May 2022 19:47:49","@yubo_app enters web3 with Randos, its first collection of NFTs on the Ethereum blockchain. Stay tuned #NFT frens.",https://discord.gg/randos,44,6.6,25.3,72.9,,
NFTigz,NFTigz,Ethereum,"11,747",7,"01 Mar 2022 04:50:51",38,"29 May 2022 19:42:13","artist led community of 9000 tiger NFTs. Get a 1/1 NFTigz made by the artist 🎨 @st1Gzy 👾Discord: https://t.co/c9qUooPSF1",https://linktr.ee/nftigz,81.6,10.2,16.3,73.2,,
planethunterz,"PlanetHunterz #NFT","Anywhere in the ethereum","30,338",11,"18 Mar 2022 08:47:44",227,"11 May 2022 07:37:59","#PlanetHunterz is a collection that lives on the #Ethereum blockchain. 5555 NFTs (Mint on May) Whitelist spots are available https://t.co/ypqgnGpvHF",http://planethunterz.io,57.8,5,49.7,73.2,,
shingen_crypto,shingen.eth,Japan,"21,392","1,344","06 Mar 2018 23:27:07","72,744","30 May 2022 11:33:08","shingen.eth / molcar.eth Ethereum周りの技術やプロジェクト情報を中心に呟きます。 NFT部屋はこちら https://t.co/P8EBkrYRUt 🐵🚀🌕💥🙈.y.at",https://debank.com/profile/0xbe1088d87f8a1c5ccb210fd7912c09885657e126,21.5,16,60.5,73.1,,
zeynepdenbiri,"Zeyna⚡",zeynepdenbiri@outlook.com.tr,"92,210",209,"25 Sep 2020 06:16:02","9,762","06 Jun 2022 18:12:49","Stratejist, Trader |Bitcoin| |Ethereum| |Metaverse| |Nft|",https://www.bitfinex.com/sign-up?refcode=BXpecQI7t,53.5,3.5,24,73.1,,
NUGGIESNFTs,"Nuggies NFTs","The Pot Shop","11,494","2,322","07 Mar 2022 15:14:00",387,"03 Jun 2022 11:26:04","🥦1,420 NUGGIES HIGH ON ETHEREUM BLOCKCHAIN 🥬 SMOKIN WITH ALL THE RIGHT UTILITY 😎💨 #NUGGIESFOLLOWNUGGIES",https://linktr.ee/thedankqueen,7,58.9,28.6,72.9,,
CryptoGucci,"Crypto-Gucci.eth ᵍᵐ🦇🔊",Metaverse,"38,251","2,698","24 Aug 2017 18:58:23","17,285","06 Jun 2022 18:52:25","Fortune favors the bold | Christ is King | Documenting the Ethereum Revolution | Weekly ETH, NFT & DeFi threads | Not financial advice | Backup acct @gucciv3rse",https://linktr.ee/cryptogucci,79.5,11.5,24,72.9,,"17 May 2022"
possiblesnft,"Possibles NFT",,"34,457",2,"14 Dec 2021 21:55:49",170,"25 May 2022 15:16:16","Anything is POSSIBLE in the metaverse. Explore, collect, and earn with unique NFTs available on the Ethereum blockchain.",https://linktr.ee/possiblesnft,42.9,7.6,8.2,72.8,,
winterbearsnft,"Winter Bears 🐻‍❄️",Ethereum,"28,642","2,567","23 Aug 2021 20:13:10","2,503","26 Apr 2022 14:16:23","🐻‍❄️ 10,000 Winter Bear NFTs ❤️ Created by @0xNushi, @OphidianDev & @gumptionbear https://t.co/eMSVdPWcdc 🔗 Links: https://t.co/m9xH3UnjBL",http://winterbearsnft.com,24.5,16.5,62.5,72.6,,
mintyscore,Minty,,"31,278",125,"08 Sep 2021 07:29:36",963,"28 May 2022 14:00:02","Catch up with trending NFT at lightning speed.⚡️ #Ethereum #Solana 🌐https://t.co/bCylmti3mD 👩‍💼Client Advisor @MintyMira, @MintyDavin",http://mintyscore.com,92,7.5,7,72.6,,
